"product_id","product_name","gender","category","pattern","color","age_group","season","price","material","sales_count","reviews_count","average_rating","out_of_stock_times","brand","discount","last_stock_date","wish_list_count","month_of_sale","year_of_sale","product_url"
"10998","Stone Compressive High-Rise Legging","Female","Activewear","Solid","Multicolor","18-35","All","108.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/stone-compressive-high-rise-legging"
"10999","Umber High-Rise Bike Short","Female","Activewear","Solid","Multicolor","18-35","All","68.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/umber-high-rise-bike-short"
"11000","Umber Compressive Pocket Legging","Female","Activewear","Solid","Multicolor","18-35","All","118.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/umber-compressive-pocket-legging"
"11001","Umber Compressive High-Rise Legging","Female","Activewear","Solid","Multicolor","18-35","All","108.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/umber-compressive-high-rise-legging"
"11002","Rain High-Rise Bike Short","Female","Activewear","Solid","Multicolor","18-35","All","68.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/rain-high-rise-bike-short"
"11003","Rain Compressive Pocket Legging","Female","Activewear","Solid","Multicolor","18-35","All","118.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/rain-compressive-pocket-legging"
"11004","Rain Compressive High-Rise Legging","Female","Activewear","Solid","Multicolor","18-35","All","108.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/rain-compressive-high-rise-legging"
"11005","Bluestone Harriet High Neck Long Line Bra","Female","Activewear","Solid","Blue","18-35","All","68.0","Mixed","","","","","Girlfriend Collective","","","","","2026","https://www.girlfriend.com/products/bluestone-harriett-high-neck-long-line-bra"
"9001","Barracuda Applique Denim Mini Skirt Grunge Wash","Female","Skirt","Solid","Multicolor","18-35","Summer","55.0","Denim","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/barracuda-applique-denim-mini-skirt-grunge-wash"
"9003","Orlaith Cut Out Sleeveless Top Black","Female","Shirt","Solid","Black","18-35","Summer","49.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/orlaith-cut-out-sleeveless-top-black"
"9004","Watch Me Leave Halter Playsuit Red / White Stripe","Female","Dress","Striped","White","18-35","Summer","59.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/watch-me-leave-halter-playsuit-red-white-stripe"
"9005","Viridian Belted Flared Pants Black","Female","Jeans","Solid","Black","18-35","All","69.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/viridian-belted-flared-pants-black"
"9006","Penny Mid Rise Straight Leg Jeans White","Female","Jeans","Solid","White","18-35","All","85.0","Mixed","","","","","Lioness","","","","","2026","https://us.princesspolly.com/products/penny-mid-rise-straight-leg-jeans-white"
"9007","Mikaro Crochet Mini Dress Black","Female","Dress","Solid","Black","18-35","Summer","69.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/mikaro-crochet-mini-dress-black"
"9008","Nivelle Frill Detail Off Shoulder Top Black","Female","Shirt","Solid","Black","18-35","Summer","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/nivelle-frill-detail-off-shoulder-top-black"
"9009","Glacial Sheer Maxi Dress Noir","Female","Dress","Solid","Multicolor","18-35","Spring","75.0","Mixed","","","","","Lioness","","","","","2026","https://us.princesspolly.com/products/glacial-sheer-maxi-dress-noir"
"9011","Orvio Halter Top Brown / Paisley","Female","Shirt","Solid","Brown","18-35","Summer","55.0","Mixed","","","","","MOTEL","","","","","2026","https://us.princesspolly.com/products/orvio-halter-top-brown-paisley"
"9012","Ikani Strapless Knit Top Sorbet","Female","Shirt","Solid","Multicolor","18-35","Summer","49.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/ikani-strapless-knit-top-sorbet"
"9013","Kysa Off Shoulder Knit Top Gold","Female","Shirt","Solid","Gold","18-35","Summer","49.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/kysa-off-shoulder-knit-top-gold"
"9014","Possie Layered Jersey Mini Dress Brown","Female","Dress","Solid","Red","18-35","Summer","65.0","Jersey","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/possie-layered-jersey-mini-dress-brown"
"9015","Magic Number Strapless Mini Dress Animal Floral","Female","Dress","Floral","Multicolor","18-35","Summer","65.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/magic-number-strapless-mini-dress-animal-floral"
"9016","Skylor Sheer Off Shoulder Poncho Brown","Female","Shirt","Solid","Brown","18-35","Summer","49.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/skylor-sheer-off-shoulder-poncho-brown"
"9017","Lunea Concealed Waistband Pants Navy","Female","Jeans","Solid","Navy","18-35","All","65.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/lunea-concealed-waistband-pants-navy"
"9018","Sefina Bandage Halter Neck Top Aqua","Female","Shirt","Solid","Multicolor","18-35","Summer","55.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/sefina-bandage-halter-neck-top-aqua"
"9019","Jesemia Halter Blouson Maxi Dress Blue","Female","Dress","Solid","Blue","18-35","Summer","99.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/jesemia-halter-blouson-maxi-dress-blue"
"9020","Sidori Sheer Midi Skirt Jelly Mint","Female","Skirt","Solid","Mint","18-35","All","49.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/sidori-sheer-midi-skirt-jelly-mint"
"9021","Keera Off Shoulder Ruched Mini Dress Butter","Female","Dress","Solid","Multicolor","18-35","Summer","65.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/keera-off-shoulder-ruched-mini-dress-butter"
"9022","Kaidee Ruched Maxi Dress Jelly Mint","Female","Dress","Solid","Mint","18-35","Spring","89.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/kaidee-ruched-maxi-dress-jelly-mint"
"9023","Maddalena Halter Mini Dress Chocolate","Female","Dress","Solid","Multicolor","18-35","Summer","69.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/maddalena-halter-mini-dress-chocolate"
"9024","Antonie Strapless Textured Mini Dress Cream","Female","Dress","Solid","Red","18-35","Summer","65.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/antonie-strapless-textured-mini-dress-cream"
"9025","Esperanza Halter Drape Mini Dress Blue","Female","Dress","Solid","Blue","18-35","Summer","69.0","Mixed","","","","","Princess Polly","","","","","2026","https://us.princesspolly.com/products/esperanza-halter-drape-mini-dress-blue"
"9026","Mankind Baggy Cargo Pants White","Female","Jeans","Solid","White","18-35","All","79.0","Mixed","","","","","Princess Polly Lower Impact","","","","","2026","https://us.princesspolly.com/products/mankind-baggy-cargo-pants-white"
"9218","Featherlight Pima Tee | White Signature-fit","Unisex","Shirt","Solid","White","18-35","All","58.0","Mixed","","","","","Cuts","","","","","2026","https://cutsclothing.com/products/featherweight-pima-tee-white"
